job title,company,location,job type,date,job skills
USA Customer Support Agent (Fluent/Native English Speakers),Guide Academy,"Cairo, Egypt ",Full Time,7 days ago,Entry Level · Customer Service/Support · Customer Service · Customer Care · Fluency in English · Customer Support · English
Front Desk Coordinator - New Cairo,La Parisienne,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 5 Yrs of Exp · females_only · Administration · Customer Service/Support · Administration · Office Management · Admin · Microsoft Office · Receptionist · Communication Skills · Front Desk
Regional Talent Acquisition Specialist - French Speaker,KONE,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 7 Yrs of Exp · Human Resources · Employer Branding · Human Resources (HR) · Interviewing · Recruitment · Sourcing · Screening · Talent acquisition · Talent · English
Technical Office Engineer (Site Based - Steel Structure Eng.),Serious construction,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil · Engineering · Primavera · Technical Office · technical · AutoCAD · Microsoft Office
Senior Accountant - Construction,Serious construction,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 4 - 9 Yrs of Exp · Accounting/Finance · ERP System · ERP · Accounting · excel · Finance · GAAP · Financial Management · English · Construction
Foreign Purchasing Specialist,Misr Diesel,"Shubra, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 3 Yrs of Exp · Purchasing/Procurement · Procurement · Foreign Purchasing · Supply Chain · Purchasing · Logistics
IT Specialist,Outsourcing Skill,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · Communication · Computer Science · English · Information Technology (IT) · Installation · firewalls
Food Service Sales Manager,Pyramid Poultry Co.,"Cairo, Egypt ",Full Time,7 days ago,Manager · 7 - 10 Yrs of Exp · Sales/Retail · Communication skills · sales skills · negotiation skills · Business Administration
Real Estate Sales / Property Consultant,"Qetaf for Trade, Investment & Consulting","Heliopolis, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 10 Yrs of Exp · Sales/Retail · Sales · Real Estate · Communication · Client Relations · Sales Target · Sales Skills · Interpersonal skills · Negotiation · Presentation
Sales Admin & Receptionist,"Qetaf for Trade, Investment & Consulting","Heliopolis, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 10 Yrs of Exp · Administration · Customer Service/Support · Sales/Retail · Admin · Administration · Front Office · Real Estate · Office management · Communication · English
"Junior Accountant ""Odoo Training Opportunity""",Peerless,"Mohandessin, Giza, Egypt ",Full Time,7 days ago,Entry Level · 0 - 1 Yrs of Exp · males_only · Accounting/Finance · Accounting · analytical · excel · ERP · Finance · Financial · Financial Analysis · Financial Reporting · Odoo
Call Center Manager,J&T Express Egypt,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Manager · 6 - 10 Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Operations/Management · Call Center Manager · Customer Service · Customer Care · Call Center · Customer Support · Manager · English
Media Buyer Expert,Tadarab,"Victoria, Alexandria, Egypt ",Full Time,7 days ago,Experienced · 6 - 9 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertising · Marketing · Digital Marketing · Media Buyer · Social Media
Receptionist,Confidential,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 4 Yrs of Exp · Administration · Administration · Communication skills · Microsoft Office · Office management · Secretary · office · Management · excel · Communication
Senior Human Resource Specialist,Wadi Degla Trading,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Experienced · 5+ Yrs of Exp · males_only · Human Resources · Compensation and Benefits · Benefits · HR · Compensation · HR operations · Blue Collars · Human Resources (HR) · Social Insurance · Medical Insurance
HR Coordinator,Future Pharmaceutical industries,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Human Resources · Recruitment · OD · Human Resources (HR) · Administration · Communication · Communication skills · Computer Skills · HR · HR Certificate
Call Center Agent - Education Field,SYE English Community,"Dokki, Giza, Egypt ",Full Time,7 days ago,Experienced · 2+ Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Service · Customer Care · Customer Support · Telesales · Call Center · English · Communication
Web Developing Section Head,Future Pharmaceutical industries,"Badr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Web Development · Information Technology (IT) · Communication · Computer Science · Database · Design · Development · English
Software Business Analyst / Product Owner,Onecard,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · Computer Science · Computer Engineering · Analysis · Business Analysis · E-Payments
2D Graphic Designer Team Lead -Alexandria,Caduceus Lane,"San Stefano, Alexandria, Egypt ",Full Time,7 days ago,Manager · 8 - 10 Yrs of Exp · Creative/Design/Art · 2D · Creative · Design · English · Graphic · Graphic Design · illustrator · photoshop · Adobe Photoshop
Medical Representative,Speed Medical,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 1 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Medical · Medical representative · MEDICINE · Pharmacy · Sales · Science · Vet
Sales Key Account Manager,Mirtec International,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 10+ Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · Sales · Supermarkets · FMCG · Hotels · Pharmacies · Sales Skills · Customer Service
PHP Laravel - Full Stack Developer,Namaa IT,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Laravel · MySQL · Full Stack · Database Schemas · GraphQL API · RESTful APIs · Full Stack Development
Executive Secretary,Mirtec International,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 15+ Yrs of Exp · Administration · Digital Marketing · Media · Social Media · Administration · Online Marketing · Admin Assistant · Office Management · Microsoft Office · Admin
General Accountant,Mahmoud Electric,"Abbassia, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 3 Yrs of Exp · males_only · Accounting/Finance · Finance · Accounting · Financial Management · Financial Analysis · English · CMA · ERP · Microsoft Excel · Cost Accounting
Oracle Developer,Centro CDX,"Maadi, Cairo, Egypt ",Part Time,7 days ago,Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Business Intelligence · Oracle · Oracle Fusion · Software Development · Fusion · BI
General Accountant,Anchor Consultancy,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Experienced · 6 - 7 Yrs of Exp · Accounting/Finance · Accounting · Finance · MS Office · Taxes · Financial Analysis · Financial Management · MS Office Suite · Tax
Network Security Engineer,axispay,"Downtown, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · DNS · Information Technology (IT) · DHCP · Computer Science · Computer Engineering · CCNP
Python Developer - Internship,TMentors,"Maadi, Cairo, Egypt ",Internship,7 days ago,Student · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Software Development · RPA · Data Science · AI · Machine Learning · Automation
Customer Relationship Specialist,Chemipharm,"Mohandessin, Giza, Egypt ",Full Time,7 days ago,Entry Level · 1 - 5 Yrs of Exp · Business Development · Communication · Customer Care · Customer Support · Sales
Full Stack Team Lead,3S Software,"Nasr City, Cairo, Egypt ",Full TimeWork From Home,7 days ago,Manager · 5 - 8 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Angular · Agile · .Net · ASP.Net · Computer Science · Engineering · HTML
Full Stack Developer,3S Software,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MySQL · MVC · Information Technology (IT) · JavaScript · HTML5 · HTML · API
Electrical Engineer,International Food & Consumable Goods  Egypt S.A.E,"6th of October, Giza, Egypt ",Full Time,7 days ago,Entry Level · 2 - 3 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical · Engineering
Marketing Specialist ( Out Door ),Ready Pack Technology,"Obour City, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 0 - 4 Yrs of Exp · Marketing/PR/Advertising · E-Marketing · Sales · Marketing · English · Microsoft Office · Presentation
Localization Project Manager,Arlation Media Services,"Dokki, Giza, Egypt ",Full Time,7 days ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Project/Program Management · Communication · Communication skills · Computer Skills · Creative · Leadership · Microsoft · Project Management · Skills
Software Team Lead,TMentors,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Manager · 8 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Lead · Software Development · Software Engineering · team lead · Software · Design Patterns · SOLID Principles
Customer Service Supervisor,Ramtrade,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Manager · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Communication · Communication skills · Customer Care · Customer Service · Customer Support · Sales · Call Center · Service
Human Resource Recruiter,Ulemt,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Human Resources · Operations/Management · Communication · HR · Hiring · Human Resources (HR) · Recruiter · Recruitment · Sourcing
Real Estate Agent,The Address Investments for Real Estate Consultancy,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Entry Level · 0 - 4 Yrs of Exp · Customer Service/Support · Sales/Retail · Real Estate Agent · Real Estate · sales skills · Sales · Sales Target
Test Automation Engineer (QC),TMentors,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Python · Programming · Quality Assurance · C# · Test Automation · Software Testing · Quality Control
Sales Manager- French Speaker,Adamco Pharm,"Tunis, Tunisia ",Full Time,7 days ago,Manager · 7 - 15 Yrs of Exp · Operations/Management · Sales/Retail · Pharmaceutical · Medical · Sales · Pharmaceutical · Sales Strategies · Sales Supervision · Management · Sales Field
Telesales Agent - Etisalat UAE - Cairo,Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Customer Service · English · Negotiation · Sales · sales skills · Telesales · Customer Support · Customer Care · Customer Relations
CEO Personal Assistant,Unimix Egypt for Readymix concrete,"Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 3 Yrs of Exp · Administration · English · MS Office · Administration · Secretary · Office management
Senior Property Consultant,WATAD Capital,"Sheraton, Cairo, Egypt ",Full Time,7 days ago,Experienced · 3+ Yrs of Exp · Sales/Retail · Real Estate · Brokerage · Sales · Target · Real Estate Sales · Property Sales · sales consultant · Real estate brokerage · Communication
IT Supervisor,Shabana Group,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Manager · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Engineering · CCNP · Computer Science · ERP · Information Technology (IT) · Network Administration · CCNA
Sales Executive,Heatec Solutions,"Cairo, Egypt ",Full Time,7 days ago,"Experienced · 3 - 8 Yrs of Exp · Sales/Retail · Heating, Ventilation, and Air Conditioning (HVAC) · Interior Finishing · Real Estate Sales · heating systems sales · sales skills · Sales · Customer Service · Communication skills · Sales Target"
Full Stack Developer (.NET),Thaka International,"Badr City, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML5 · JavaScript · Information Technology (IT) · MVC · Computer Science · jQuery · SQL · Angular
Business Unit Manager (Derma line ),Confidential,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Manager · 12 - 20 Yrs of Exp · Business Development · Operations/Management · Pharmaceutical · Business Administration · Business Development · Cosmetics · MEDICINE · Pharmacy · Sales · Science
Nurse,Care Clinics,"Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · females_only · Administration · Medical/Healthcare · Healthcare · Medical · Nurse · Nursing
Senior Front End Developer,MTS,"Heliopolis, Cairo, Egypt ",Full Time,7 days ago,Experienced · 4 - 6 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · AJAX · Agile · Engineering · HTML5 · Git
Maintenance & Finishing Specialist,Care Clinics,"Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Installation/Maintenance/Repair · Maintenance · Finishing · Engineering
Senior Property Consultant,Confidential,"Cairo, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Customer Service/Support · Sales/Retail · sales skills · Sales · Communication · Real Estate · Experience · Sales Target · Skills · business
Senior Female Real Estate Sales Executive- Developer,Palmier Real Estate.com,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 3+ Yrs of Exp · females_only · Sales/Retail · Sales · Real Estate · Sales Target · sales skills · Experience · developer · a · is
Corporate Sales Supervisor- IT Industry,Orange Egypt,"Smart Village, Giza, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Sales/Retail · Corporate Sales · Information Technology (IT)
Document Controller,Alkarma Developments,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Administration · Document Control · Administration · Communication · Microsoft Office · excel · Business Administration · word
Property Consultant,Confidential,"Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · Experience · sales skills · Sales · Sales Target · Communication
Female Senior Sales Advisor - Developer,Palmier Real Estate.com,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 3+ Yrs of Exp · females_only · Sales/Retail · Sales · Real Estate · Sales Target · sales skills · Experience · developer · a · is
Business Excellence - Executive,Ghabbour Auto,"6th of October, Giza, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Administration · Operations/Management · Analyst/Research · Business Administration · Business Excellence · Microsoft Excel · office · Microsoft Office · English · business
Furniture Production Engineer,Arozan,"10th of Ramadan City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 4 - 8 Yrs of Exp · Manufacturing/Production · Engineering - Other · Furniture · AutoCAD · shop drawing · WoodWorks · Production · Engineering · Technical Office Engineering
Furniture design Engineer,Arozan,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Experienced · 5 - 8 Yrs of Exp · Creative/Design/Art · Engineering - Other · Design · Applied Arts · AutoCAD · Sketch · Engineering · shop drawing · 3d max · Design Engineering
Pricing Analyst,Cartlow,"Cairo, Egypt ",Full Time,7 days ago,Experienced · 3 - 4 Yrs of Exp · Accounting/Finance · Analyst/Research · Analysis · Analyst · BI · Data Analysis · Economics · Pricing · Pricing analysis · Accounting
Sales Coordinator,EISAS,"Dokki, Giza, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · males_preferred · Sales/Retail · Shipping · Shipping Line · FCL Shipping · Freight Forwarding · Air Freight · Sales · Microsoft Office · English · Administration
Sales Outdoor Agent (Cairo - Alexandria - Delta - Sharqia - Kafr El Sheikh),Orange Egypt,"Giza, Egypt ",Full Time,7 days ago,Entry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · Agent · Outdoor · Outdoor Sales · Sales · Sales outdoor · sales skills
Personnel Coordinator,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt ",Full Time,7 days ago,Entry Level · 0 - 2 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · Labor Law · Microsoft Office · Recruitment · Social Insurance · Communication · Excel · Personnel
Admission Officer,Care Clinics,"Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Administration · Customer Service/Support · Admin · Administration · admission · Commerce · Microsoft Office
Automation & PLC Maintenance Engineer - Monfuya,Royal Herbs,"Alsadat City, Monufya, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical Power · Automation · Classic control · Maintenance · Manufacturing · HMI · PLC
Medical Approval - Customer Success Specialist,Beyond Solution,"Maadi, Cairo, Egypt ",Full TimeShift Based,7 days ago,Experienced · 2 - 3 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Pharmaceutical · Claims · Customer Care · Insurance · Medical · Pharmacy · Customer Service · MEDICINE
Export Sales Manager l Agriculture,Confidential,"Obour City, Cairo, Egypt ",Full Time,7 days ago,Manager · 7+ Yrs of Exp · Logistics/Supply Chain · Operations/Management · Sales/Retail · Agriculture · Business Administration · Export · Logistics · Sales · Marketing · sales skills
Local Purchasing Specialist,Kandil Industries,"10th of Ramadan City, Sharqia, Egypt ",Full Time,7 days ago,Experienced · 2 - 5 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · sales skills · Purchasing · Procurement · Supply Chain · Logistics · MS Office
Facility Executive,NEW JERSEY Developments,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 5 Yrs of Exp · Hospitality/Hotels/Food Services · Facility Management · Administration · Operations
Accounts Payable Accountant,Alkarma Developments,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounts Payable · Accounting · Real Estate · Construction · Finance
Technical Office Engineer (Site Based),Alkarma Developments,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Construction · Architecture · AutoCAD · Engineering · Technical Office
Business Development Executive (Sales),DPM Advertising Agency,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 4 Yrs of Exp · Business Development · Sales/Retail · Business Development · Digital Marketing · English · Marketing · Microsoft Word · Negotiation · Sales · Sales Target
Business Development Consultant / Insurance Field,Eg Insurtech,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Business Development · Sales/Retail · Insurance · Communication · Business Development · Negotiation · Sales Target · Sales · English · sales skills
Sales Executive,First Group,"6th of October, Giza, Egypt ",Full Time,7 days ago,Experienced · 2 - 3 Yrs of Exp · Sales/Retail · Sales · Real Estate Sales · Sales Target · Communication skills · sales skills · Real Estate · Communication · Presentations skills
Senior Tax Accountant,Statements for Consulting,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Accounting · Bookkeeping · Tax · Tax Laws · Accounting Office · Finance · Financial Analysis · Financial Management · Financial Statements
Senior Site Engineer,Alkarma Developments,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Construction · Engineering · Civil · AutoCAD · Primavera · Site Egnineering · Civil Engineering · Architectural Engineering · Architecture
Financial Manager - Construction,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,7 days ago,Manager · 15 - 20 Yrs of Exp · Accounting/Finance · Operations/Management · Analysis · Accounting · Construction · Communication · Financial Analysis · Financial Management · Financial Reporting · Reporting
Warehouse Coordinator,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,7 days ago,Entry Level · 0 - 2 Yrs of Exp · Logistics/Supply Chain · Warehouse · Coordinator · Administration · Supply Chain · Logistics
Maintenance Manager,NEW JERSEY Developments,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Manager · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Facility Management · Management · Maintenance · Communication
Admissions Manager,Al Bashaer international school,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Manager · 3+ Yrs of Exp · Administration · Admin · Administration · admission · Sales · English · Microsoft Office · School · Education
Mechanical Site Engineer - HVAC,North point,"Haram, Giza, Egypt ",Full Time,7 days ago,Entry Level · 0 - 5 Yrs of Exp · males_only · Engineering - Mechanical/Electrical · Engineering · Mechanical · Mechanical Engineering · Microsoft · Maintenance · AutoCAD
Human Resources Manager,Malvern College Egypt,"Katameya, Cairo, Egypt ",Full Time,7 days ago,Manager · 5+ Yrs of Exp · Human Resources · Operations/Management · Human Resources · Human Resources (HR) · Recruitment · Communication skills · English
Academic Quality Unit Analyst,Nile University,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Experienced · 2+ Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Analysis · Quality Management · Database Testing · Microsoft Excel · Microsoft Office · Software Development · Microsoft Visio
Customer Support Representative - VIP Account,Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Call Center · Customer Care · Customer Service · Customer Support · English · English fluency · Service · c1 · vip
Senior Treasury Accountant,Prima Elios,"Abdeen, Cairo, Egypt ",Full Time,7 days ago,Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Finance · excel · Financial Analysis · Communication · Accounting · ERP
Graphic Designer,KIG Konnice,"10th of Ramadan City, Sharqia, Egypt ",Full Time,7 days ago,Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · 3D · Graphic Designing · Adobe Photoshop · Cinema 4D · 3ds Max · Design · Graphic Design · Graphic · Adobe illustrator
Cost Control Engineer - Site Based,DME Holding,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Cost Control Engineering · Cost Management · Civil Engineering · Microsoft Excel · Construction · Communication · Computer Science · Engineering · Civil
Clinic Receptionist,Care Clinics,"Cairo, Egypt ",Full Time,7 days ago,Entry Level · 0 - 1 Yrs of Exp · Administration · Customer Service/Support · Medical/Healthcare · Administration · Communication · Communication skills · Front Office · Microsoft Office · Office management · receptionist
Security Manager,NEW JERSEY Developments,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Manager · 3 - 5 Yrs of Exp · Administration · Legal · Military · MS · Police · Security
Sales Manager,Confidential,"Giza, Egypt ",Full Time,7 days ago,Manager · 3 - 6 Yrs of Exp · Business Development · Communication skills · English · negotiation skills · Presentation Skills · sales skills
Auditor,Finsolutions,"Katameya, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 5 Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · Audit · Auditing · English · Finance · Microsoft · Microsoft Excel · Tax
Communication and PR Englsih Copywriter,Bee Interactive Ltd.,"Zamalek, Cairo, Egypt ",Full TimePart Time,7 days ago,Experienced · 3 - 6 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · English · Press · Public Relations (PR) · Writing · Copywriting · Marketing · Social Media
Operations Coordinator ( Export & Import ),Asma Commercial Group,"Sheraton, Cairo, Egypt ",Full Time,7 days ago,Experienced · 2+ Yrs of Exp · Logistics/Supply Chain · Operations/Management · Export · Logistics · Management · Operations · Shipment · Import · Shipping
Senior Purchasing Specialist,Simplex,"Cairo, Egypt ",Full Time,7 days ago,Experienced · 2 - 4 Yrs of Exp · Purchasing/Procurement · Logistics · Procurement · Purchasing · Supply Chain · Communication · Communication skills · Mathematics · Purchase
Mechanical Engineer,BariQ,"6th of October, Giza, Egypt ",Full Time,7 days ago,Experienced · 2 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Mechanical · Maintenance · FMCG · English · Manufacturing · Mechanical Engineering · Power · mechanical power engineering
Engineering Department Manager,Confidential,"Mokattam, Cairo, Egypt ",Full Time,7 days ago,Manager · 10+ Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Operations/Management · Engineering · Civil Engineering · Ceramic · Marble · Management · Project Management · Finishing · Electricity
Site Accountant,TRAVCO GROUP,"Red Sea, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · males_only · Accounting/Finance · Accounting · Construction Accounting
Financial Manager,Confidential,"Mokattam, Cairo, Egypt ",Full Time,7 days ago,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · Accounting · Finance · Financial Analysis · Financial Management · Business · Data Privacy Standards · Mathematical Skills · Communication Skills
Operations Specialist,3D Diagnostix,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Entry Level · R&D/Science · Operations/Management · Engineering - Other · Production · Operations · Agriculture · Science · Engineering · Nutrition · Scan
Financial Manager,TRAVCO GROUP,"Sheikh Zayed, Giza, Egypt ",Full Time,7 days ago,Manager · 8 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Financial · Accounting · Finance · Management · Financial Management
Sales Indoor - Etisalat Misr,Sky Distribution,"Cairo, Egypt ",Full TimeShift Based,7 days ago,Entry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Sales/Retail · Sales · Telesales · Customer Service · Customer Care · Customer Support · Retail · Indoor Sales · English
CFO,Confidential,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Senior Management · 15 - 20 Yrs of Exp · Accounting/Finance · C-Level Executive/GM/Director · Finance · Financial Management · Financial Analysis · Banking · Accounting
Commercial Executive,Athear,"New Cairo, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Business Development · Operations/Management · Communication skills · Skills · Customer Service · English · Sales · Sales Target · Computer Skills
Mechanical Technical Office Engineer-HVAC,North point,"Haram, Giza, Egypt ",Full Time,7 days ago,Entry Level · 1 - 5 Yrs of Exp · females_only · Engineering - Mechanical/Electrical · AutoCAD · Mechanical Engineering · mechanical power · Microsoft Office · Engineering · Mechanical · Power · Skills
Marketing Specialist,Confidential,"Alexandria, Egypt ",Full Time,7 days ago,Entry Level · 1 - 2 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · marketing specialist · specialist · Marketing · Communication skills · Customer Service · Business Administration · Arabic · English
Game Programmer,Limbic Entertainment (Cairo Office),"Sheraton, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Unreal Engine · C++ · Game programming · Game development · UE4/5 · Software Development · Software Engineering
Senior Frontend Developer Angular,FlairsTech,"Maadi, Cairo, Egypt ",Full Time,7 days ago,Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Agile · Computer Science · HTML5 · Git · Design · CSS3 · Software Development
Medical PA - Italian Speaker,London International Patient Services,"Sheraton, Cairo, Egypt ",Full Time,7 days ago,Entry Level · 0 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Fluent Italian · Fluent English · commenication skills
Sales Promoter,Smart Light,"6th of October, Giza, Egypt ",Full Time,7 days ago,Experienced · 2 - 2 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · Marketing · promoter · Sales · sales skills · Sales Target
Proofreader (English),Confidential,"Mohandessin, Giza, Egypt ",Full Time,7 days ago,Experienced · 2 - 7 Yrs of Exp · Writing/Editorial · E-Learning · Proofreading
Instructional Designer,Saudi German Hospital,"New Nozha, Cairo, Egypt ",Part Time,7 days ago,Experienced · 2 - 5 Yrs of Exp · Creative/Design/Art · Training/Instructor · Design · Education · Instructional · illustrator · Instructional Design · learning · Training · Curriculum
Supply Chain Manager,Simplex,"Nasr City, Cairo, Egypt ",Full Time,7 days ago,Manager · 5 - 10 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Delivery · chain · Procurement · Purchasing · Suppliers · Supply · Supply Chain
